name,phase
"1 1/4"" EMT DC COMP CONN",4200
"1 1/2"" EMT DC COMP CONN",4200
"2""     EMT DC COMP CONN",4200
"2 1/2"" EMT DC COMP CONN",4200
"3""     EMT DC COMP CONN",4200
"3 1/2"" EMT DC COMP CONN",4200
"4""     EMT DC COMP CONN",4200
"  1/2"" EMT DC COMP CPLG",4200
"  3/4"" EMT DC COMP CPLG",4200
"1""     EMT DC COMP CPLG",4200
"1 1/4"" EMT DC COMP CPLG",4200
"1 1/2"" EMT DC COMP CPLG",4200
"2""     EMT DC COMP CPLG",4200
"2 1/2"" EMT DC COMP CPLG",4200
"3""     EMT DC COMP CPLG",4200
"3 1/2"" EMT DC COMP CPLG",4200
"4""     EMT DC COMP CPLG",4200
"  1/2"" EMT INSUL DC COMP CONN",4200
"  3/4"" EMT INSUL DC COMP CONN",4200
"1""  EMT INSUL DC COMP CONN",4200
"1 1/4"" EMT INSUL DC COMP CONN",4200
"1 1/2"" EMT INSUL DC COMP CONN",4200
"2""  EMT INSUL DC COMP CONN",4200
"2 1/2"" EMT INSUL DC COMP CONN",4200
"3""  EMT INSUL DC COMP CONN",4200
"3 1/2"" EMT INSUL DC COMP CONN",4200
"4""  EMT INSUL DC COMP CONN",4200
"  1/2"" EMT STL SS CONN",4200
"  3/4"" EMT STL SS CONN",4200
"1""     EMT STL SS CONN",4200
"1 1/4"" EMT STL SS CONN",4200
"1 1/2"" EMT STL SS CONN",4200
"2""     EMT STL SS CONN",4200
"2 1/2"" EMT STL SS CONN",4200
"3""     EMT STL SS CONN",4200
"3 1/2"" EMT STL SS CONN",4200
"4""     EMT STL SS CONN",4200
"  1/2"" EMT STL SS CPLG",4200
"  3/4"" EMT STL SS CPLG",4200
"1""     EMT STL SS CPLG",4200
"1 1/4"" EMT STL SS CPLG",4200
"1 1/2"" EMT STL SS CPLG",4200
"2""     EMT STL SS CPLG",4200
"2 1/2"" EMT STL SS CPLG",4200
"3""     EMT STL SS CPLG",4200
"3 1/2"" EMT STL SS CPLG",4200
"4""     EMT STL SS CPLG",4200
"  1/2"" EMT INSUL STL SS CONN",4200
"  3/4"" EMT INSUL STL SS CONN",4200
"1""     EMT INSUL STL SS CONN",4200
"1 1/4"" EMT INSUL STL SS CONN",4200
"1 1/2"" EMT INSUL STL SS CONN",4200
"2""     EMT INSUL STL SS CONN",4200
"2 1/2"" EMT INSUL STL SS CONN",4200
"3""     EMT INSUL STL SS CONN",4200
"3 1/2"" EMT INSUL STL SS CONN",4200
"4""     EMT INSUL STL SS CONN",4200
"  1/2"" EMT STL COMP CONN",4200
"  3/4"" EMT STL COMP CONN",4200
"1""     EMT STL COMP CONN",4200
"1 1/4"" EMT STL COMP CONN",4200
"1 1/2"" EMT STL COMP CONN",4200
"2""     EMT STL COMP CONN",4200
"2 1/2"" EMT STL COMP CONN",4200
"3""     EMT STL COMP CONN",4200
"3 1/2"" EMT STL COMP CONN",4200
"4""     EMT STL COMP CONN",4200
"  1/2"" EMT STL COMP CPLG",4200
"  3/4"" EMT STL COMP CPLG",4200
"1""     EMT STL COMP CPLG",4200
"1 1/4"" EMT STL COMP CPLG",4200
"1 1/2"" EMT STL COMP CPLG",4200
"2""     EMT STL COMP CPLG",4200
"2 1/2"" EMT STL COMP CPLG",4200
"3""     EMT STL COMP CPLG",4200
"3 1/2"" EMT STL COMP CPLG",4200
"4""     EMT STL COMP CPLG",4200
"  1/2"" EMT INSUL STL COMP CONN",4200
"  3/4"" EMT INSUL STL COMP CONN",4200
"1""  EMT INSUL STL COMP CONN",4200
"1 1/4"" EMT INSUL STL COMP CONN",4200
"1 1/2"" EMT INSUL STL COMP CONN",4200
"2""  EMT INSUL STL COMP CONN",4200
"2 1/2"" EMT INSUL STL COMP CONN",4200
"3""  EMT INSUL STL COMP CONN",4200
"3 1/2"" EMT INSUL STL COMP CONN",4200
"4""  EMT INSUL STL COMP CONN",4200
"  1/2"" EMT DC SS O/S CONN",4200
"  3/4"" EMT DC SS O/S CONN",4200
"1""  EMT DC SS O/S CONN",4200
"  1/2"" EMT DC COMP O/S CONN",4200
"  3/4"" EMT DC COMP O/S CONN",4200
"1""     EMT DC COMP O/S CONN",4200
"  1/2"" EMT DC SS O/S NIPPLE",4200
"  3/4"" EMT DC SS O/S NIPPLE",4200
"1""     EMT DC SS O/S NIPPLE",4200
"  1/2"" EMT STL INDENTER CONN",4200
"  3/4"" EMT STL INDENTER CONN",4200
"1""     EMT STL INDENTER CONN",4200
"  1/2"" EMT INSUL STL INDENTER CONN",4200
"  3/4"" EMT INSUL STL INDENTER CONN",4200
"1""     EMT INSUL STL INDENTER CONN",4200
"  1/2"" EMT STL INDENTER CPLG",4200
"  3/4"" EMT STL INDENTER CPLG",4200
"1""     EMT STL INDENTER CPLG",4200
"  3/8"" EMT >   1/2"" FLEX CPLG",4200
"  1/2"" EMT >   1/2"" FLEX CPLG",4200
"  3/4"" EMT >   3/4"" FLEX CPLG",4200
"1""     EMT > 1""     FLEX CPLG",4200
"  1/2"" EMT LB SET SCREW",4200
"  3/4"" EMT LB SET SCREW",4200
"1""     EMT LB SET SCREW",4200
"1 1/4"" EMT LB SET SCREW",4200
"1 1/2"" EMT LB SET SCREW",4200
"2""     EMT LB SET SCREW",4200
"2 1/2"" EMT LB SET SCREW",4200
"3""     EMT LB SET SCREW",4200
"3 1/2"" EMT LB SET SCREW",4200
"4""     EMT LB SET SCREW",4200
"  1/2"" EMT C SET SCREW",4200
"  3/4"" EMT C SET SCREW",4200
"1""     EMT C SET SCREW",4200
"1 1/4"" EMT C SET SCREW",4200
"1 1/2"" EMT C SET SCREW",4200
"2""     EMT C SET SCREW",4200
"  1/2"" EMT T SET SCREW",4200
"  3/4"" EMT T SET SCREW",4200
"1""     EMT T SET SCREW",4200
"1 1/4"" EMT T SET SCREW",4200
"1 1/2"" EMT T SET SCREW",4200
"2""     EMT T SET SCREW",4200
"  1/2"" EMT LL SET SCREW",4200
"  3/4"" EMT LL SET SCREW",4200
"1""     EMT LL SET SCREW",4200
"1 1/4"" EMT LL SET SCREW",4200
"1 1/2"" EMT LL SET SCREW",4200
"2""     EMT LL SET SCREW",4200
"  1/2"" EMT LR SET SCREW",4200
"  3/4"" EMT LR SET SCREW",4200
"1""     EMT LR SET SCREW",4200
"1 1/4"" EMT LR SET SCREW",4200
"1 1/2"" EMT LR SET SCREW",4200
"2""     EMT LR SET SCREW",4200
"  1/2""   COVER",4200
"  3/4""   COVER",4200
"1""       COVER",4200
"1 1/4-1 1/2"" COVER",4200
"2""   COVER",4200
"2 1/2-3"" COVER",4200
"3 1/2-4"" COVER",4200
"  1/2""   NEOPRENE GASKET",4200
"  3/4""   NEOPRENE GASKET",4200
"1""       NEOPRENE GASKET",4200
"1 1/4-1 1/2"" NEOPRENE GASKET",4200
"2""   NEOPRENE GASKET",4200
"2 1/2-3""  NEOPRENE GASKET",4200
"3 1/2-4""  NEOPRENE GASKET",4200
"  1/2"" WEATHER HEAD ENTR FTG",4200
"  3/4"" WEATHER HEAD ENTR FTG",4200
"1""     WEATHER HEAD ENTR FTG",4200
"1 1/4"" WEATHER HEAD ENTR FTG",4200
"1 1/2"" WEATHER HEAD ENTR FTG",4200
"2""     WEATHER HEAD ENTR FTG",4200
"2 1/2"" WEATHER HEAD ENTR FTG",4200
"3""     WEATHER HEAD ENTR FTG",4200
"3 1/2"" WEATHER HEAD ENTR FTG",4200
"4""     WEATHER HEAD ENTR FTG",4200
"1 1/4"" ROOF FLASHING",4200
"2""     ROOF FLASHING",4200
"2 1/2"" ROOF FLASHING",4200
"1 1/4"" NEOPRENE ROOF FLASHING",4200
"2""     NEOPRENE ROOF FLASHING",4200
"2 1/2"" NEOPRENE ROOF FLASHING",4200
"  1/2"" ENTRANCE LB",4200
"  3/4"" ENTRANCE LB",4200
"1""     ENTRANCE LB",4200
"1 1/4"" ENTRANCE LB",4200
"1 1/2"" ENTRANCE LB",4200
"2""     ENTRANCE LB",4200
2-#3 CBL WEATHER HEAD ENTR FTG,4200
3-1/0 CBL WEATHER HEAD ENTR FTG,4200
3-3/0 CBL WEATHER HEAD ENTR FTG,4200
3-#3  > 2-3   SEU STRAP,4200
3-1/0 > 2-2/0 SEU STRAP,4200
3-4/0 SEU STRAP,4200
"1""     6-#3 WT CABLE CONN",4200
"1""     3-#3 WT CABLE CONN",4200
